"SAMPLING_NO","POINT_ORDER","VALUE","CRITERIA_MIN","CRITERIA_MAX","POINT_JUDGE","EQUIPMENT_SERIAL"
"1","1","6.27","6.1468","6.5532","1","1517230"
"1","2","6.4","6.1468","6.5532","1","1517230"
"1","3","6.43","6.1468","6.5532","1","1517230"
"1","4","6.29","6.1468","6.5532","1","1517230"
"1","5","6.32","6.1468","6.5532","1","1517230"
"1","6","6.35","6.1468","6.5532","1","1517230"
"1","7","6.38","6.1468","6.5532","1","1517230"
"1","8","6.41","6.1468","6.5532","1","1517230"
"1","9","6.27","6.1468","6.5532","1","1517230"
"2","1","6.27","6.1468","6.5532","1","1517230"
"2","2","6.3","6.1468","6.5532","1","1517230"
"2","3","6.33","6.1468","6.5532","1","1517230"
"2","4","6.36","6.1468","6.5532","1","1517230"
"2","5","6.39","6.1468","6.5532","1","1517230"
"2","6","6.42","6.1468","6.5532","1","1517230"
"2","7","6.28","6.1468","6.5532","1","1517230"
"2","8","6.31","6.1468","6.5532","1","1517230"
"2","9","6.34","6.1468","6.5532","1","1517230"
"3","1","6.28","6.1468","6.5532","1","1517230"
"3","2","6.31","6.1468","6.5532","1","1517230"
"3","3","6.34","6.1468","6.5532","1","1517230"
"3","4","6.37","6.1468","6.5532","1","1517230"
"3","5","6.4","6.1468","6.5532","1","1517230"
"3","6","6.43","6.1468","6.5532","1","1517230"
"3","7","6.29","6.1468","6.5532","1","1517230"
"3","8","6.32","6.1468","6.5532","1","1517230"
"3","9","6.52","6.1468","6.5532","1","1517230"
